user,balance
0,10000000000
1,4
2,1
3,9
4,1
5,1
6,1
7,1
8,7
9,6
10,2
11,13
12,31
13,1
14,2
15,443
16,7
17,2
18,1
19,3
20,99
21,1
22,1
23,8
24,80
25,3
26,1
27,12
28,1
29,9
30,24
31,2
32,1
33,1
34,2
35,7
36,1
37,1
38,4
39,6
40,1
41,4
42,5
43,1
44,1
45,1
46,2
47,3
48,2
49,1
50,3
51,6
52,3
53,2
54,5
55,2
56,2
57,2
58,10
59,4
60,3
61,1
62,2
63,3
64,1
65,9
66,1
67,9
68,1
69,1
70,1
71,2
72,2
73,6
74,10
75,2
76,3
77,1
78,1
79,1
80,3
81,1
82,1
83,5
84,2
85,1
86,1
87,2
88,7
89,2
90,3
91,1
92,1
93,7
94,3
95,2
96,6
97,1
98,2
99,1
100,1
